Tag;Datum;Zeit;Hallennummer;Inhalt Tooltip Halle;Spielnummer;Liga;Staffelkurzbezeichnung;Heimmannschaft;Gastmannschaft;Ergebnis;Halbzeitergebnis;SR A; Verein SR A; SR B; Verein SR B; SR C; Verein SR C; SR D; Verein SR D
Sat.;14.07.2018;00:00;;;20184011;Pokal M;Pokal M R1 IV;TV Bad Kötzting;HC Weiden;="0:0";="0:0";;;;;;;;
Sat.;14.07.2018;00:00;;;20184010;Pokal M;Pokal M R1 IV;TS Herzogenaurach;HSG SGS Erl/HC Niederl;="0:0";="0:0";;;;;;;;
Sat.;14.07.2018;00:00;;;20184012;Pokal M;Pokal M R1 IV;TV 1881 Altdorf;HC Sulzb.Rosenb.;="0:0";="0:0";;;;;;;;
Sat.;14.07.2018;00:00;;;20184014;Pokal M;Pokal M R1 IV;ATSV Kelheim e.V;SG Regensburg;="0:0";="0:0";;;;;;;;
Sat.;14.07.2018;15:00;240340;Regensburg, Sporthalle ESV 27;20182040;Pokal F;Pokal F R1 IV;ESV 27 Regensbg.;HC Erlangen;="0:0";="0:0";;;;;;;;
Sat.;14.07.2018;16:00;240040;Cham, Jos.-v.-Frauenhofer Gymnasium;20184013;Pokal M;Pokal M R1 IV;ASV 1863 Cham;SG Auerbach/Pegnitz;="0:0";="0:0";;;;;;;;
Sun.;15.07.2018;00:00;;;20182041;Pokal F;Pokal F R1 IV;Mintraching/Neutraubling;TS Herzogenaurach;="0:0";="0:0";;;;;;;;
Sun.;15.07.2018;00:00;;;20182042;Pokal F;Pokal F R1 IV;Mintraching/Neutraubling II;HC Sulzb.Rosenb.;="0:0";="0:0";;;;;;;;
Sun.;15.07.2018;12:00;240148;Hannberg, Seebachgrundhalle;20182045;Pokal F;Pokal F R1 IV;HSG SGS Erl/HC Niederl;SV Obertraubling;="0:0";="0:0";;;;;;;;
Sat.;15.09.2018;00:00;;;20045002;BY WB;Bayernliga;HC Erlangen;TSV EBE Forst United;="0:0";="0:0";;;;;;;;
Sat.;15.09.2018;00:00;;;20035001;BY MB;Bayernliga;TV 77 Lauf;TSV Niederraunau;="0:0";="0:0";;;;;;;;
Sat.;15.09.2018;00:00;;;20040004;BY WA;Bayernliga;Mintraching/Neutraubling;HSG Würm-Mitte;="0:0";="0:0";;;;;;;;
Sat.;15.09.2018;00:00;;;20010001;BY M;Bayernliga;SG Regensburg;TSV Haunstetten;="0:0";="0:0";;;;;;;;
Sat.;15.09.2018;00:00;;;20045004;BY WB;Bayernliga;Mintraching/Neutraubling;TSV Allach 09;="0:0";="0:0";;;;;;;;
Sat.;15.09.2018;00:00;;;20020005;BY F;Bayernliga;Mintraching/Neutraubling;HG Ingolstadt;="0:0";="0:0";;;;;;;;
Sat.;15.09.2018;00:00;;;20011006;LLM;Landesliga Staffel N;TV Erl.-Bruck II;TV Helmbrechts;="0:0";="0:0";;;;;;;;
Sat.;15.09.2018;00:00;;;2004104;LL MC;Landesliga Staffel Nord;HC Erlangen;SC Eching;="0:0";="0:0";;;;;;;;
Sat.;15.09.2018;00:00;240263;Neunburg v. W., Hauptschulturnhalle;20031004;LL MA;Landesliga Staffel Nord;FC Neunburg v.W.;MTV Stadeln;="0:0";="0:0";;;;;;;;
Sat.;15.09.2018;00:00;;;20036001;LL MB;Landesliga Staffel Nord;ESV 27 Regensbg.;TSV Rödelsee;="0:0";="0:0";;;;;;;;
Sat.;15.09.2018;00:00;;;20031001;LL MA;Landesliga Staffel Nord;TV 77 Lauf;TV Marktsteft;="0:0";="0:0";;;;;;;;
Sat.;15.09.2018;00:00;;;20052100;ÜBOL WA;ÜBOL Mitte;TSV 04 Feucht;TV Gunzenhausen;="0:0";="0:0";;;;;;;;
Sat.;15.09.2018;00:00;;;20052200;ÜBOL WA;ÜBOL Mitte-Ost;HC Weiden;Nabburg/Schwarzenfeld;="0:0";="0:0";;;;;;;;
Sat.;15.09.2018;00:00;;;20052201;ÜBOL WA;ÜBOL Mitte-Ost;DJK SV Berg;HC Hersbruck e.V;="0:0";="0:0";;;;;;;;
Sat.;15.09.2018;00:00;;;20062100;ÜBOL WC;ÜBOL Nordost;SG Regensburg;SV Buckenhofen;="0:0";="0:0";;;;;;;;
Sat.;15.09.2018;00:00;;;20057103;ÜBOL WB;ÜBOL Nordost;HSG Pyrbaum/Seligenporten;HG Eckental;="0:0";="0:0";;;;;;;;
Sat.;15.09.2018;00:00;;;20057102;ÜBOL WB;ÜBOL Nordost;TV Hilpoltstein;HG Hemau/Beratzhausen;="0:0";="0:0";;;;;;;;
Sat.;15.09.2018;00:00;;;20062102;ÜBOL WC;ÜBOL Nordost;Mintraching/Neutraubling;TV Münchberg;="0:0";="0:0";;;;;;;;
Sat.;15.09.2018;00:00;;;20062101;ÜBOL WC;ÜBOL Nordost;HC Weiden;Nabburg/Schwarzenfeld;="0:0";="0:0";;;;;;;;
Sat.;15.09.2018;14:30;240460;Wackersdorf, Schulsporthalle;20052202;ÜBOL WA;ÜBOL Mitte-Ost;TV Wackersdorf;SpVgg Diepersd.;="0:0";="0:0";;;;;;;;
Sat.;15.09.2018;15:00;240002;Amberg, Gregor-Mendel-Gymnasium;20051003;LL WA;Landesliga Staffel Nord;HG im TV 1861 Amberg e.V.;HSV Hochfranken;="0:0";="0:0";;;;;;;;
Sat.;15.09.2018;16:00;240301;Oberviechtach, Sporthalle Gymnasium;20061000;LL WC;Landesliga Staffel Nord;HV Oberviechtach;TSV Ismaning;="0:0";="0:0";;;;;;;;
Sun.;16.09.2018;10:30;240145;Herzogenaurach, Sporthalle Gymnasium;20062001;ÜBOL WC;ÜBOL Nord;TS Herzogenaurach;SG Kernfranken;="0:0";="0:0";;;;;;;;
Sun.;16.09.2018;12:30;240145;Herzogenaurach, Sporthalle Gymnasium;20021001;LLF;Landesliga Staffel N;TS Herzogenaurach II;TSV Winkelhaid;="0:0";="0:0";;;;;;;;
Sun.;16.09.2018;14:30;240145;Herzogenaurach, Sporthalle Gymnasium;20020001;BY F;Bayernliga;TS Herzogenaurach;TSV Haunstetten II;="0:0";="0:0";;;;;;;;
Sun.;16.09.2018;16:30;240300;Obertraubling, Leo Graß Sportzentrum;20021004;LLF;Landesliga Staffel N;SV Obertraubling;MHV Schweinf.09;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;00:00;;;20035009;BY MB;Bayernliga;HC Erlangen;TSV Rothenburg;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;00:00;;;20040008;BY WA;Bayernliga;Mintraching/Neutraubling;TSV Haunstetten;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;00:00;;;20045005;BY WB;Bayernliga;ESV 27 Regensbg.;TSV Haunstetten;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;00:00;;;20020008;BY F;Bayernliga;HC Erlangen;TS Herzogenaurach;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;00:00;;;20045008;BY WB;Bayernliga;Mintraching/Neutraubling;TSV Schleißheim;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;00:00;;;24012002;BZOL M;Bezirksoberliga;SG Regensburg II;ESV 27 Regensbg.;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;00:00;240263;Neunburg v. W., Hauptschulturnhalle;24022002;BZOL F;Bezirksoberliga;FC Neunburg v.W.;TSV Röthenbach;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;00:00;;;24022001;BZOL F;Bezirksoberliga;SG Regensburg;HV Oberviechtach;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;00:00;;;24012004;BZOL M;Bezirksoberliga;TSV Neutraubling;HC Weiden;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;00:00;;;24022006;BZOL F;Bezirksoberliga;TV Erl.-Bruck;Nabburg/Schwarzenfeld;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;00:00;;;24012001;BZOL M;Bezirksoberliga;HSG SGS Erl/HC Niederl;TS Herzogenaurach;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;00:00;;;24012006;BZOL M;Bezirksoberliga;TV Erl.-Bruck III;Nabburg/Schwarzenfeld;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;00:00;;;20021011;LLF;Landesliga Staffel N;HC Sulzb.Rosenb.;SV Obertraubling;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;00:00;;;20011011;LLM;Landesliga Staffel N;HC Sulzb.Rosenb.;SG Auerbach/Pegnitz;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;00:00;240263;Neunburg v. W., Hauptschulturnhalle;20051008;LL WA;Landesliga Staffel Nord;FC Neunburg v.W.;HG im TV 1861 Amberg e.V.;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;00:00;;;20061006;LL WC;Landesliga Staffel Nord;ESV 27 Regensbg.;HSV Bergtheim;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;00:00;;;2004105;LL MC;Landesliga Staffel Nord;HC Sulzb.Rosenb.;DJK Waldbüttelbr;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;00:00;;;20061005;LL WC;Landesliga Staffel Nord;HC Forchheim;HV Oberviechtach;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;00:00;;;20056006;LL WB;Landesliga Staffel Nord;HC Erlangen II;TV Münchberg;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;00:00;;;2004108;LL MC;Landesliga Staffel Nord;HC Erlangen;TSV Wertingen;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;00:00;;;20037202;ÜBOL MB;ÜBOL Mitte;HC Forchheim;SC 04 Schwabach;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;00:00;;;20037203;ÜBOL MB;ÜBOL Mitte;HC Erlangen II;MTV Stadeln;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;00:00;;;20042102;ÜBOL MC;ÜBOL Mitte-Nord;HC Erlangen II;SG Auerbach/Pegnitz;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;00:00;;;20052204;ÜBOL WA;ÜBOL Mitte-Ost;HC Hersbruck e.V;HC Weiden;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;00:00;;;20052205;ÜBOL WA;ÜBOL Mitte-Ost;SG Rohr/Pavelsbach;DJK SV Berg;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;00:00;;;20057106;ÜBOL WB;ÜBOL Nordost;HSG Pyrbaum/Seligenporten;TSV Wendelstein;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;00:00;;;20062104;ÜBOL WC;ÜBOL Nordost;SpVgg Diepersd.;HC Weiden;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;00:00;;;20057107;ÜBOL WB;ÜBOL Nordost;HG Eckental;TV Helmbrechts;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;00:00;;;20037101;ÜBOL MB;ÜBOL Nordost;HC Sulzb.Rosenb.;DJK Neumarkt;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;00:00;240263;Neunburg v. W., Hauptschulturnhalle;20057104;ÜBOL WB;ÜBOL Nordost;FC Neunburg v.W.;HV Oberviechtach;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;00:00;;;20037102;ÜBOL MB;ÜBOL Nordost;TSV 04 Feucht;SpVgg Diepersd.;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;00:00;;;20032003;ÜBOL MA;ÜBOL Nordwest;HC Forchheim;JSG Würzburg-Lengfeld;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;00:00;;;20042201;ÜBOL MC;ÜBOL Ost;ESV 27 Regensbg.;HC Hersbruck e.V;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;14:30;240040;Cham, Jos.-v.-Frauenhofer Gymnasium;20063301;ÜBL WC;ÜBL Nordost 1;JHG Regendreieck;HC Deggendorf;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;16:00;240040;Cham, Jos.-v.-Frauenhofer Gymnasium;20058200;ÜBL WB;ÜBL Ost;JHG Regendreieck;TV Landau;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;16:00;240002;Amberg, Gregor-Mendel-Gymnasium;20032104;ÜBOL MA;ÜBOL Nordost;HG im TV 1861 Amberg e.V.;HSV Hochfranken;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;16:00;240180;Kelheim, städtische Sporthalle;20032103;ÜBOL MA;ÜBOL Nordost;ATSV Kelheim e.V;JHG Regendreieck;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;16:00;240140;Hemau, Tangrintel-Halle;20057105;ÜBOL WB;ÜBOL Nordost;HG Hemau/Beratzhausen;TV 1886 Ebersd.;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;16:00;240363;Schwarzenfeld, Mehrzweckhalle im Sportpark;20062103;ÜBOL WC;ÜBOL Nordost;Nabburg/Schwarzenfeld;SG Regensburg;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;16:00;240144;Herzogenaurach, Sporthalle Mittelschule;20057007;ÜBOL WB;ÜBOL Nordwest;TS Herzogenaurach;TSV Lohr;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;16:30;240000;Altdorf, Schulturnhalle Grundschule;24022003;BZOL F;Bezirksoberliga;TV 1881 Altdorf;HG Eckental;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;16:30;240340;Regensburg, Sporthalle ESV 27;20021012;LLF;Landesliga Staffel N;ESV 27 Regensbg. II;SC 04 Schwabach;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;17:00;240465;Winkelhaid, Dr. Dietmar-Trautmann-Sportanlage;20052105;ÜBOL WA;ÜBOL Mitte;JSG Nürnberger Land;TV Gunzenhausen;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;17:30;240040;Cham, Jos.-v.-Frauenhofer Gymnasium;20042202;ÜBOL MC;ÜBOL Ost;JHG Regendreieck;TSV 1861 Mainburg;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;17:45;240363;Schwarzenfeld, Mehrzweckhalle im Sportpark;20052203;ÜBOL WA;ÜBOL Mitte-Ost;Nabburg/Schwarzenfeld;HSG Pyrbaum/Seligenporten;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;18:00;240002;Amberg, Gregor-Mendel-Gymnasium;24022004;BZOL F;Bezirksoberliga;HG im TV 1861 Amberg e.V.;SG Rohr/Pavelsbach;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;18:00;240140;Hemau, Tangrintel-Halle;20032102;ÜBOL MA;ÜBOL Nordost;HG Hemau/Beratzhausen;SG Auerbach/Pegnitz;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;18:30;240000;Altdorf, Schulturnhalle Grundschule;24012003;BZOL M;Bezirksoberliga;TV 1881 Altdorf;HC Erlangen III;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;19:30;240040;Cham, Jos.-v.-Frauenhofer Gymnasium;20011014;LLM;Landesliga Staffel N;ASV 1863 Cham;TSV 1861 Mainburg;="0:0";="0:0";;;;;;;;
Sun.;23.09.2018;14:30;240460;Wackersdorf, Schulsporthalle;20032101;ÜBOL MA;ÜBOL Nordost;TV Wackersdorf;TSV Neutraubling;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;00:00;;;20035012;BY MB;Bayernliga;TV 77 Lauf;HT München;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;00:00;;;20060005;BY WC;Bayernliga;HC Erlangen;HCD Gröbenzell;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;00:00;;;20045013;BY WB;Bayernliga;HC Erlangen;Mintraching/Neutraubling;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;00:00;;;20020020;BY F;Bayernliga;Mintraching/Neutraubling;1.FCN Handball;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;00:00;;;20021019;LLF;Landesliga Staffel N;SV Obertraubling;ESV 27 Regensbg. II;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;00:00;;;20031010;LL MA;Landesliga Staffel Nord;HC Erlangen;TV Marktsteft;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;00:00;;;20031012;LL MA;Landesliga Staffel Nord;TV 77 Lauf;Post SV Nbg;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;00:00;;;20051010;LL WA;Landesliga Staffel Nord;HC Sulzb.Rosenb.;TSG Estenfeld;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;00:00;;;20036012;LL MB;Landesliga Staffel Nord;ESV 27 Regensbg.;HaSpo Bayreuth;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;00:00;;;20031114;LL MA;Landesliga Staffel Süd;ESV 27 Regensbg.;HSG Freising-Neufahrn;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;00:00;;;20058302;ÜBL WB;ÜBL Mitte;SpVgg Diepersd.;ESV Flügelrad;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;00:00;;;20038300;ÜBL MB;ÜBL Mitte;HSG SGS Erl/HC Niederl;ESV Flügelrad II;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;00:00;;;20043400;ÜBL MC;ÜBL Mitte;SG Rohr/Pavelsbach;SC Eltersdorf;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;00:00;;;20038303;ÜBL MB;ÜBL Mitte;HC Erlangen IV;TS Herzogenaurach;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;00:00;;;20043401;ÜBL MC;ÜBL Mitte;HG Eckental;HG Ansbach II;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;00:00;;;20043104;ÜBL MC;ÜBL Nord 1;TV Erl.-Bruck;SG Bad Rodach/Großw.;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;00:00;;;20043100;ÜBL MC;ÜBL Nord 1;HSG SGS Erl/HC Niederl;HC Forchheim;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;00:00;;;20038200;ÜBL MB;ÜBL Nord-Ost;HC Erlangen III;TV 77 Lauf II;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;00:00;240263;Neunburg v. W., Hauptschulturnhalle;20063304;ÜBL WC;ÜBL Nordost 1;FC Neunburg v.W.;SG Naabtal;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;00:00;;;20063300;ÜBL WC;ÜBL Nordost 1;SG Post/Süd Regensburg;HG Hemau/Beratzhausen;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;00:00;;;20063401;ÜBL WC;ÜBL Nordost 2;HG Eckental;HC Hersbruck e.V;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;00:00;;;20063403;ÜBL WC;ÜBL Nordost 2;TV Hilpoltstein;JSG Nürnberger Land;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;00:00;;;20063402;ÜBL WC;ÜBL Nordost 2;DJK SV Berg;HSG Pyrbaum/Seligenporten;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;00:00;;;20063400;ÜBL WC;ÜBL Nordost 2;DJK Neumarkt;DJK Weiden;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;00:00;;;20063001;ÜBL WC;ÜBL Nordwest;HSG SGS Erl/HC Niederl;HC Erlangen II;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;00:00;;;20043300;ÜBL MC;ÜBL Ost;HC Sulzb.Rosenb. II;HC Weiden;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;00:00;;;20058201;ÜBL WB;ÜBL Ost;HSG Berching/Pollanten;SV Obertraubling;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;00:00;;;20033201;ÜBL MA;ÜBL Ost;TS Regensburg;SG Moosburg e.V.;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;00:00;240263;Neunburg v. W., Hauptschulturnhalle;20043302;ÜBL MC;ÜBL Ost;FC Neunburg v.W.;TSV 04 Feucht;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;00:00;;;20043301;ÜBL MC;ÜBL Ost;SG Regensburg;Nabburg/Schwarzenfeld;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;00:00;;;20052107;ÜBOL WA;ÜBOL Mitte;TSV 04 Feucht;TSV Wendelstein;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;00:00;;;20052206;ÜBOL WA;ÜBOL Mitte-Ost;HSG Pyrbaum/Seligenporten;HC Hersbruck e.V;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;00:00;;;20052207;ÜBOL WA;ÜBOL Mitte-Ost;HC Weiden;SG Rohr/Pavelsbach;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;00:00;;;20052208;ÜBOL WA;ÜBOL Mitte-Ost;DJK SV Berg;TV Wackersdorf;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;00:00;;;20057110;ÜBOL WB;ÜBOL Nordost;TV Hilpoltstein;HSG Pyrbaum/Seligenporten;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;00:00;;;20032105;ÜBOL MA;ÜBOL Nordost;TSV Neutraubling;Tuspo Nürnberg;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;00:00;;;20062106;ÜBOL WC;ÜBOL Nordost;SV Buckenhofen;Nabburg/Schwarzenfeld;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;00:00;;;20062108;ÜBOL WC;ÜBOL Nordost;HC Weiden;HSG Fichtelgebirge;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;00:00;;;20062107;ÜBOL WC;ÜBOL Nordost;SG Regensburg;SpVgg Diepersd.;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;00:00;;;20037105;ÜBOL MB;ÜBOL Nordost;SpVgg Diepersd.;HSG Fichtelgebirge;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;00:00;;;20037103;ÜBOL MB;ÜBOL Nordost;DJK Neumarkt;HV Oberviechtach;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;00:00;;;20042203;ÜBOL MC;ÜBOL Ost;HC Hersbruck e.V;HV Oberviechtach;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;11:00;240180;Kelheim, städtische Sporthalle;20058203;ÜBL WB;ÜBL Ost;ATSV Kelheim e.V;Schierling/Langquaid;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;13:00;240180;Kelheim, städtische Sporthalle;20043303;ÜBL MC;ÜBL Ost;ATSV Kelheim e.V;TV Wackersdorf;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;13:30;240301;Oberviechtach, Sporthalle Gymnasium;20061011;LL WC;Landesliga Staffel Nord;HV Oberviechtach;ESV 27 Regensbg.;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;15:15;240002;Amberg, Gregor-Mendel-Gymnasium;20043304;ÜBL MC;ÜBL Ost;HG im TV 1861 Amberg e.V.;JSG Nürnberger Land;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;15:30;240102;Forchheim, Sporthalle Realschule;24022005;BZOL F;Bezirksoberliga;HC Forchheim;SG Naabtal;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;15:30;240301;Oberviechtach, Sporthalle Gymnasium;20057109;ÜBOL WB;ÜBOL Nordost;HV Oberviechtach;HG Hemau/Beratzhausen;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;17:00;240002;Amberg, Gregor-Mendel-Gymnasium;20032108;ÜBOL MA;ÜBOL Nordost;HG im TV 1861 Amberg e.V.;ATSV Kelheim e.V;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;17:30;240102;Forchheim, Sporthalle Realschule;24012005;BZOL M;Bezirksoberliga;HC Forchheim;SG Naabtal;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;17:30;240301;Oberviechtach, Sporthalle Gymnasium;20051011;LL WA;Landesliga Staffel Nord;HV Oberviechtach;SV Puschendorf;="0:0";="0:0";;;;;;;;
Sat.;29.09.2018;19:00;240465;Winkelhaid, Dr. Dietmar-Trautmann-Sportanlage;20021015;LLF;Landesliga Staffel N;TSV Winkelhaid;VfL Günzburg;="0:0";="0:0";;;;;;;;
Sun.;30.09.2018;09:00;240145;Herzogenaurach, Sporthalle Gymnasium;20042107;ÜBOL MC;ÜBOL Mitte-Nord;TS Herzogenaurach;HC Erlangen II;="0:0";="0:0";;;;;;;;
Sun.;30.09.2018;10:30;240145;Herzogenaurach, Sporthalle Gymnasium;20062008;ÜBOL WC;ÜBOL Nord;TS Herzogenaurach;TSV Altenfurt;="0:0";="0:0";;;;;;;;
Sun.;30.09.2018;12:30;240145;Herzogenaurach, Sporthalle Gymnasium;20021016;LLF;Landesliga Staffel N;TS Herzogenaurach II;HSG Volkach;="0:0";="0:0";;;;;;;;
Sun.;30.09.2018;14:30;240145;Herzogenaurach, Sporthalle Gymnasium;20020016;BY F;Bayernliga;TS Herzogenaurach;HSG Fichtelgebirge;="0:0";="0:0";;;;;;;;
Sun.;30.09.2018;14:30;240460;Wackersdorf, Schulsporthalle;20063302;ÜBL WC;ÜBL Nordost 1;TV Wackersdorf;TSV Rottenburg;="0:0";="0:0";;;;;;;;
Wed.;03.10.2018;00:00;;;20010016;BY M;Bayernliga;SG Regensburg;Eichenauer SV;="0:0";="0:0";;;;;;;;
Wed.;03.10.2018;00:00;;;24022007;BZOL F;Bezirksoberliga;TSV Röthenbach;SG Regensburg;="0:0";="0:0";;;;;;;;
Wed.;03.10.2018;00:00;;;20011021;LLM;Landesliga Staffel N;TV Erl.-Bruck II;ASV 1863 Cham;="0:0";="0:0";;;;;;;;
Wed.;03.10.2018;13:00;240140;Hemau, Tangrintel-Halle;20063310;ÜBL WC;ÜBL Nordost 1;HG Hemau/Beratzhausen;HC Deggendorf;="0:0";="0:0";;;;;;;;
Wed.;03.10.2018;14:45;240140;Hemau, Tangrintel-Halle;20057112;ÜBOL WB;ÜBOL Nordost;HG Hemau/Beratzhausen;TV Helmbrechts;="0:0";="0:0";;;;;;;;
Wed.;03.10.2018;16:00;240005;Auerbach, Helmut-Ott-Halle;20011019;LLM;Landesliga Staffel N;SG Auerbach/Pegnitz;TV Helmbrechts;="0:0";="0:0";;;;;;;;
Sat.;06.10.2018;00:00;;;20035019;BY MB;Bayernliga;HC Erlangen;TSV Niederraunau;="0:0";="0:0";;;;;;;;
Sat.;06.10.2018;00:00;;;24012011;BZOL M;Bezirksoberliga;TV Erl.-Bruck III;HC Forchheim;="0:0";="0:0";;;;;;;;
Sat.;06.10.2018;00:00;;;24022009;BZOL F;Bezirksoberliga;SG Rohr/Pavelsbach;TV 1881 Altdorf;="0:0";="0:0";;;;;;;;
Sat.;06.10.2018;00:00;;;24012009;BZOL M;Bezirksoberliga;HC Weiden;TV 1881 Altdorf;="0:0";="0:0";;;;;;;;
Sat.;06.10.2018;00:00;;;24012007;BZOL M;Bezirksoberliga;ESV 27 Regensbg.;HSG SGS Erl/HC Niederl;="0:0";="0:0";;;;;;;;
Sat.;06.10.2018;00:00;;;24022008;BZOL F;Bezirksoberliga;HG Eckental;FC Neunburg v.W.;="0:0";="0:0";;;;;;;;
Sat.;06.10.2018;00:00;;;24012008;BZOL M;Bezirksoberliga;HC Erlangen III;SG Regensburg II;="0:0";="0:0";;;;;;;;
Sat.;06.10.2018;00:00;;;24012010;BZOL M;Bezirksoberliga;SG Naabtal;TSV Neutraubling;="0:0";="0:0";;;;;;;;
Sat.;06.10.2018;00:00;;;24022011;BZOL F;Bezirksoberliga;TV Erl.-Bruck;HC Forchheim;="0:0";="0:0";;;;;;;;
Sat.;06.10.2018;00:00;;;20011024;LLM;Landesliga Staffel N;HC Sulzb.Rosenb.;MTV  Ingolstadt;="0:0";="0:0";;;;;;;;
